"tag_id","tag_name"
1,"SmartHome"
2,"WearableTech"
3,"SmartPhone"
4,"Laptop"
5,"Tablet"
6,"SmartWatch"
7,"BluetoothSpeaker"
8,"WirelessHeadphones"
9,"GamingConsole"
10,"VRHeadset"
11,"DigitalCamera"
12,"Drone"
13,"SmartTV"
14,"EReader"
15,"FitnessTracker"
16,"HomeSecurity"
17,"StreamingDevice"
18,"SmartLight"
19,"RobotVacuum"
20,"3DPrinter"
21,"SmartThermostat"
22,"PortableCharger"
23,"ActionCamera"
24,"SmartScale"
25,"SoundBar"
26,"WirelessRouter"
27,"GamingLaptop"
28,"GamingMouse"
29,"GamingKeyboard"
30,"ExternalHardDrive"
31,"SSD"
32,"GraphicCard"
33,"Monitor"
34,"SmartFridge"
35,"SmartOven"
36,"SmartWasher"
37,"SmartDryer"
38,"CarTech"
39,"BluetoothAdapter"
40,"SmartLock"
41,"SmartPlug"
42,"SmartDoorbell"
43,"MeshWiFi"
44,"DigitalAssistant"
45,"SmartGlasses"
46,"SmartMirror"
47,"SmartKettle"
48,"SmartToaster"
49,"SmartCoffeeMaker"
50,"SmartBlinds"
